step=310527  weights=ema  loops=257  npi=1
  λ=[0.26121583580970764, 0.2119082808494568, 0.3452630937099457, 0.18517149984836578, 0.215340718626976, 0.3521755635738373, 0.4800223708152771, 0.3880845308303833]
  δ=0.0903  G=0.7118
  batch 1/8  43s
  batch 2/8  87s
  batch 3/8  131s
  batch 4/8  174s
  batch 5/8  218s
  batch 6/8  262s
  batch 7/8  306s
  batch 8/8  350s

  seg |     acc  exact  exact% |     Δacc |   churn
  166 |  0.8943   1583  77.29% |  +0.0642 |  0.0026
  167 |  0.8943   1583  77.29% |  +0.0642 |  0.0023
  168 |  0.8943   1583  77.29% |  +0.0643 |  0.0023
  169 |  0.8945   1583  77.29% |  +0.0645 |  0.0022
  170 |  0.8945   1583  77.29% |  +0.0645 |  0.0023
  171 |  0.8945   1583  77.29% |  +0.0645 |  0.0022
  172 |  0.8946   1584  77.34% |  +0.0645 |  0.0022
  173 |  0.8945   1584  77.34% |  +0.0644 |  0.0022
  174 |  0.8947   1584  77.34% |  +0.0647 |  0.0021
  175 |  0.8949   1584  77.34% |  +0.0648 |  0.0019
  176 |  0.8947   1584  77.34% |  +0.0647 |  0.0017
  177 |  0.8948   1585  77.39% |  +0.0647 |  0.0017
  178 |  0.8949   1585  77.39% |  +0.0648 |  0.0016
  179 |  0.8947   1585  77.39% |  +0.0646 |  0.0017
  180 |  0.8946   1585  77.39% |  +0.0645 |  0.0017
  181 |  0.8947   1585  77.39% |  +0.0647 |  0.0015
  182 |  0.8948   1586  77.44% |  +0.0648 |  0.0014
  183 |  0.8947   1586  77.44% |  +0.0647 |  0.0014
  184 |  0.8946   1586  77.44% |  +0.0645 |  0.0013
  185 |  0.8946   1586  77.44% |  +0.0646 |  0.0013
  186 |  0.8949   1586  77.44% |  +0.0648 |  0.0014
  187 |  0.8948   1586  77.44% |  +0.0648 |  0.0016
  188 |  0.8948   1586  77.44% |  +0.0648 |  0.0014
  189 |  0.8949   1586  77.44% |  +0.0648 |  0.0012
  190 |  0.8948   1586  77.44% |  +0.0647 |  0.0011
  191 |  0.8949   1587  77.49% |  +0.0648 |  0.0009
  192 |  0.8948   1587  77.49% |  +0.0648 |  0.0009
  193 |  0.8949   1587  77.49% |  +0.0648 |  0.0010
  194 |  0.8948   1587  77.49% |  +0.0648 |  0.0009
  195 |  0.8948   1587  77.49% |  +0.0647 |  0.0009
  196 |  0.8948   1587  77.49% |  +0.0647 |  0.0008
  197 |  0.8949   1587  77.49% |  +0.0648 |  0.0010
  198 |  0.8948   1587  77.49% |  +0.0648 |  0.0009
  199 |  0.8947   1587  77.49% |  +0.0647 |  0.0008
  200 |  0.8948   1587  77.49% |  +0.0647 |  0.0007
  201 |  0.8948   1587  77.49% |  +0.0647 |  0.0009
  202 |  0.8948   1587  77.49% |  +0.0647 |  0.0007
  203 |  0.8947   1587  77.49% |  +0.0646 |  0.0007
  204 |  0.8947   1587  77.49% |  +0.0646 |  0.0007
  205 |  0.8946   1587  77.49% |  +0.0646 |  0.0006
  206 |  0.8946   1587  77.49% |  +0.0645 |  0.0005
  207 |  0.8946   1587  77.49% |  +0.0645 |  0.0006
  208 |  0.8946   1587  77.49% |  +0.0645 |  0.0007
  209 |  0.8945   1587  77.49% |  +0.0645 |  0.0006
  210 |  0.8945   1587  77.49% |  +0.0644 |  0.0005
  211 |  0.8945   1587  77.49% |  +0.0645 |  0.0005
  212 |  0.8945   1587  77.49% |  +0.0645 |  0.0005
  213 |  0.8945   1587  77.49% |  +0.0645 |  0.0005
  214 |  0.8946   1587  77.49% |  +0.0645 |  0.0004
  215 |  0.8947   1587  77.49% |  +0.0646 |  0.0004
  216 |  0.8946   1587  77.49% |  +0.0645 |  0.0003
  217 |  0.8947   1587  77.49% |  +0.0646 |  0.0003
  218 |  0.8947   1587  77.49% |  +0.0646 |  0.0005
  219 |  0.8946   1587  77.49% |  +0.0645 |  0.0004
  220 |  0.8946   1587  77.49% |  +0.0645 |  0.0003
  221 |  0.8946   1587  77.49% |  +0.0645 |  0.0004
  222 |  0.8946   1587  77.49% |  +0.0646 |  0.0004
  223 |  0.8947   1587  77.49% |  +0.0646 |  0.0004
  224 |  0.8946   1587  77.49% |  +0.0645 |  0.0004
  225 |  0.8947   1587  77.49% |  +0.0646 |  0.0003
  226 |  0.8947   1587  77.49% |  +0.0646 |  0.0004
  227 |  0.8946   1587  77.49% |  +0.0645 |  0.0003
  228 |  0.8946   1587  77.49% |  +0.0645 |  0.0004
  229 |  0.8946   1587  77.49% |  +0.0645 |  0.0003
  230 |  0.8946   1587  77.49% |  +0.0645 |  0.0004
  231 |  0.8946   1587  77.49% |  +0.0645 |  0.0002
  232 |  0.8946   1587  77.49% |  +0.0646 |  0.0003
  233 |  0.8946   1587  77.49% |  +0.0645 |  0.0003
  234 |  0.8946   1587  77.49% |  +0.0646 |  0.0003
  235 |  0.8945   1587  77.49% |  +0.0645 |  0.0003
  236 |  0.8946   1587  77.49% |  +0.0645 |  0.0004
  237 |  0.8946   1587  77.49% |  +0.0645 |  0.0004
  238 |  0.8946   1587  77.49% |  +0.0645 |  0.0002
  239 |  0.8946   1587  77.49% |  +0.0645 |  0.0003
  240 |  0.8945   1587  77.49% |  +0.0645 |  0.0004
  241 |  0.8945   1587  77.49% |  +0.0644 |  0.0003
  242 |  0.8945   1587  77.49% |  +0.0645 |  0.0004
  243 |  0.8945   1587  77.49% |  +0.0645 |  0.0003
  244 |  0.8946   1587  77.49% |  +0.0645 |  0.0003
  245 |  0.8945   1587  77.49% |  +0.0645 |  0.0003
  246 |  0.8946   1587  77.49% |  +0.0645 |  0.0003
  247 |  0.8945   1587  77.49% |  +0.0645 |  0.0003
  248 |  0.8945   1587  77.49% |  +0.0645 |  0.0003
  249 |  0.8944   1587  77.49% |  +0.0644 |  0.0003
  250 |  0.8944   1587  77.49% |  +0.0643 |  0.0002
  251 |  0.8944   1587  77.49% |  +0.0643 |  0.0003
  252 |  0.8944   1587  77.49% |  +0.0644 |  0.0003
  253 |  0.8946   1587  77.49% |  +0.0645 |  0.0003
  254 |  0.8946   1587  77.49% |  +0.0645 |  0.0004
  255 |  0.8945   1587  77.49% |  +0.0645 |  0.0004
  256 |  0.8945   1587  77.49% |  +0.0645 |  0.0004

학습 세그먼트(16): acc 0.8301  완답 1043/2048 (50.93%)
최고 acc:  seg 191  0.8949  (+0.0648)
최고 완답: seg 191  1587/2048  (+544)

저장: /root/LinearTuring/2026-09-01/results/json/seg_extrap.json
